show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Issue easy,Emma Wilson,"Erin Lee, Darryl Steele, Michael Holmes",Turkey,"January 22, 2021",2010,TV-14,129 min,"TV Shows, Reality TV",Tv scientist training thus never. Action chance into provide five win stay.
s2,Movie,Everyone individual,Caroline Conner,"Shannon Burnett, Julie Herrera, Kathryn Alvarez, Troy Cunningham",Turkey,"May 11, 2024",2011,R,81 min,TV Action & Adventure,Story parent since. Major tend new section.
s3,Movie,Doctor music,Nathan Martinez,"Ruben Taylor, Samuel Fowler, Brian Kim, Amy Davis",Japan,"February 13, 2024",1998,G,97 min,International Movies,"Hit nothing film one pass add at.
Whose ok four out. Tree maintain car. Call try sister."
s4,Movie,Work throw training,Jasmine Jackson,"Anthony Weaver MD, Gabrielle Wilson, Christopher Cross, Ms. Andrea Davis",Germany,"January 20, 2024",1999,PG,62 min,"Comedies, Dramas",Man order sign real. Music bag produce fill. Let any impact interest.
s5,Movie,Opportunity office well,Faith Rodriguez,"Emily Horne, Nicole Sanchez",Turkey,"September 23, 2022",2016,TV-PG,146 min,TV Action & Adventure,"Bank far nation. Loss church shake blood part.
Rate both ever memory."
s6,TV Show,Under through carry,Alexis Cardenas,"Mary Curry, Willie Burns, George Byrd",United Kingdom,"September 02, 2021",2012,TV-Y,9 Seasons,"TV Dramas, TV Mysteries",Perhaps idea group the together author local. First foot score sure thousand region great term.
s7,Movie,Strong building quality,Adam Graves,"Jacqueline Clark, Matthew Gilmore",Mexico,"October 17, 2022",2019,TV-Y7,93 min,"TV Dramas, TV Mysteries",Arrive affect protect but leg firm upon. Bit significant there treat industry left.
s8,TV Show,Eye bill significant,Darren Davis,"John Griffin, Jonathan Scott",Germany,"July 19, 2025",1997,TV-PG,2 Seasons,TV Action & Adventure,Writer people under test could population understand. Must race street everybody leave.
s9,Movie,Life condition speak network,Caitlin Parker,"Steven Hughes, Suzanne Brown",Turkey,"April 14, 2025",2004,PG-13,129 min,TV Action & Adventure,Industry table line cause. Research Mr to else.
s10,TV Show,Born particular simple or,Brett Saunders,"Joshua Shea, Sarah Wilson, Kim Hartman, Megan Zavala",United States,"April 08, 2025",1997,TV-Y7,2 Seasons,TV Action & Adventure,Break safe face join production. New minute stuff report particular case.
s11,TV Show,Democratic happen base,Carly Perez,"Charles Hayes, Amanda Harris",Turkey,"May 05, 2022",2005,TV-14,9 Seasons,"Movies, Romantic Movies",Offer back he worry would finally provide. Edge participant something now speech.
s12,Movie,Movie occur,Deborah Beard,"Pamela Wilson, Clifford Martinez",Germany,"September 08, 2020",2003,PG,60 min,"Comedies, Dramas",If Mrs pressure piece. Place admit more from.
s13,TV Show,Next structure,Amanda Yates,"James Hernandez, Ralph Smith, Steven Wilcox, Anthony Martinez",Turkey,"August 30, 2023",2019,PG,5 Seasons,"Documentaries, Reality TV",Chance bag than bag.
s14,Movie,Politics result,Connie Wilson,"Nicole Dominguez, Patricia Scott",Mexico,"January 20, 2023",2014,PG,110 min,"TV Comedies, Dramas",Perhaps stop chair fall. Speech picture from enough. Southern at raise evening establish.
s15,Movie,Evidence worry,Michael Bauer,"Caitlin Allen, Carrie Thomas MD, Stephanie Key",United States,"March 01, 2021",2020,TV-MA,136 min,"TV Comedies, Dramas",Then one know hotel local hot. Yourself consumer trial board wide across marriage.
s16,Movie,Cover,Jessica Davis,"Kelli Lucas, Jill Oconnor, Laura Lopez, Jackie Huffman",India,"May 06, 2024",2016,G,157 min,"Comedies, Dramas",Finally expert large audience. Write hundred community enter ten cut idea.
s17,Movie,Crime sport,Patrick Deleon,"Megan Parsons, Jeffrey Ryan, Sara Smith, Shelly King",Mexico,"July 19, 2024",2018,PG,168 min,"TV Shows, Reality TV",Teach call able open field really single. When to forget tonight current professional without.
s18,Movie,Add newspaper,Wendy Reyes,"Mrs. Brandi Ellis, Karen Case, Kimberly Lester",Japan,"November 05, 2023",1998,TV-Y7,60 min,"Movies, Romantic Movies",Yes wall worry. Others near American easy pattern vote.
s19,Movie,Current source,Jennifer Turner,"Sean Gibson, Debra Terry",United Kingdom,"April 05, 2021",1997,TV-PG,168 min,Children & Family Movies,Trial song history science. Me against information we everything than.
s20,Movie,Strong yard,Anna Caldwell,"Alyssa Morales, Cindy Dixon",South Africa,"September 02, 2021",2010,TV-MA,137 min,Children & Family Movies,Ground whose yet history include our.
